ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0038	FENOBARBITAL SODICO - 200 MG/2 ML - SOLUCION INYECTABLE - FENOBARBITAL
P0039	BENCILPENICILINA PROCAINICA - 1'000,000 UI INY - POLVO PARA SUSPENSION INYECTABLE - BENCILPENICILINA
P0011	AGUA ESTERIL - PARA INYECCION X 5ML  - SOLUCION INYECTABLE - AGUA ESTÉRIL PARA INYECCIÓN
P0040	HIDROXOCOBALAMINA - 1 MG-ML X 1 IM/SC - SOLUCION INYECTABLE - COVAVIT-12
P0041	CIPROFLOXACINO CLORHIDRATO - 0.3% - 5 ML  - SOLUCION OFTALMICA - FLOXICAD
P0042	DIMENHIDRINATO - 50 MG. - TABLETA - DIMENHIDRINATO
P0042	DIMENHIDRINATO - 50 MG. - TABLETA - DIMENHIDRINATO
P0043	DOXICICLINA - 100 MG. - CAPSULA
P0044	GEMFIBROZILO - 600 MG. - TABLETA RECUBIERTA - GEMFIBROZILO
P0044	GEMFIBROZILO - 600 MG. - TABLETA RECUBIERTA - GEMFIBROZILO
P0044	GEMFIBROZILO - 600 MG. - TABLETA RECUBIERTA - GEMFIBROZILO
P0045	OXITOCINA - 10 UI X 1ML - SOLUCION INYECTABLE - CONTRACXIN
P0045	OXITOCINA - 10 UI X 1ML - SOLUCION INYECTABLE - CONTRACXIN
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0046	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML
P0047	CODEINA FOSFATO - 15 MG./ 5 ML./ 60 ML.  - JARABE - CODEINA FOSFATO
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0050	DICLOXACILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0049	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUC INY - FLUMAZENIL 0.5 MG/5ML
P0006	CETIRIZINA - 10MG - TABLETA RECUBIERTA - CETCAD
P0001	ESCOPOLAMINA N-BUTIL BROMURO - 20 MG/ML INY 1ML IM/IV - SOLUCION INYECTABLE - N- BUTILBROMURO DE HIO
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0051	HIDROCLOROTIAZIDA - 12.5 MG. - TABLETA - HIDROCLOROTIAZIDA
P0052	LEVETIRACETAM - 500 MG. - COMPRIMIDO RECUBIERTO - LEVEVITAE
P0053	CEFTRIAXONA - 1 GR - POLVO PARA SOLUCION INYECTABLE - TREXACAD
P0054	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL - SIMETICONA
P0055	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE
P0056	ALCOHOL POLIVINILICO - 1.4 % SOL OFT. - SOL. OFTALM. - LAGRIMAS ISOTONICAS
P0054	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL - SIMETICONA
P0057	ALCOHOL POLIVINILICO - 1.4 % SOL OFT. - SOLUCION OFTALMICA - LAGRIMAS ISOTONICAS
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0059	AMOXICILINA + ACIDO CLAVULANICO - 250MG+ 62.5 MG/5ML - SUS-60ML - POLVO PARA SUSPENSION ORAL - AMOXI
P0060	ORFENADRINA CITRATO - 100 MG - TABLETA DE LIBERACION PROLONGADA - ORFENADRINA CITRATO
P0046	ALUMINIO HIDROXIDO + MAGNESIO HIDROXIDO - 400 + 400 MG/5ML SUS 120 ML
